InputStoryid,InputSentence1,InputSentence2,InputSentence3,InputSentence4,RandomFifthSentenceQuiz1,RandomFifthSentenceQuiz2,AnswerRightEnding
b929f263-1dcd-4a0b-b267-5d5ff2fe65bb,A barátaim mind szeretnek a klubba járni táncolni.,"Szerintük ez nagyon szórakoztató, és mindig meghívják.","Végül úgy döntöttem, hogy múlt szombaton elkísérem.","Borzasztóan táncoltam, és eltörtem egy barátom lábujját.","A barátaim úgy döntöttek, hogy továbbra is meghívnak, mert annyira szórakoztató vagyok.","A következő hétvégén megkértek, hogy maradjak otthon.",2
7cbbc0af-bcce-4f56-871d-963f9bb6a99d,A minap megpróbáltam elmenni a parkba.,Az időjárás elég szépnek tűnt egy sétához.,"Perceken belül, miután odaértem, tüsszögni kezdtem.","A szemem könnyezett, és nehezen kaptam levegőt.","Az allergiám túl erős volt, és haza kellett mennem.","Emlékeztetett arra, hogy mennyire szerettem a tavaszi virágokat.",1
4745d627-be9b-45f2-ad92-99c82cc83f85,"Avery házas volt, és gyerekei voltak.",Belefáradt az unalmas életébe.,"Egy nap úgy döntött, hogy találkozik egy régi főiskolai barátjával.","Rossz döntéseket hozott azon az éjszakán, és hűtlen volt a férjéhez.","Avery úgy gondolta, hogy a gyermekei örülni fognak a döntésének.","Avery másnap megbánta, amit tett.",2
6bc5a855-3a02-454c-8d8b-4428b1864f95,"Josh imádta, amikor az anyukája almás pitét sütött.","Utálta, hogy mindig vacsora utánig kellett várnia.","Ezért úgy döntött, hogy ezúttal vacsora előtt elcsen egy darabot.",Az anyja által használt tojás azonban rossz lehetett.,Josh szerint a pite nagyon finom volt.,Josh megbetegedett.,2
2f74e81d-957b-4541-9e66-59e5eaa6aef1,John éppen dalszövegeket írt az új albumához.,Elkezdett írói blokkot tapasztalni.,"Próbálta kényszeríteni magát, hogy írjon, de nem ment neki semmi.","Sétált egyet, lógott néhány barátjával, és nézte a természetet.","Ihletet érzett, majd hazament írni.",Johnnak ekkor támadt egy ötlete a festményéhez.,1
325503ab-11f5-416d-81fb-3980793ca6f7,A pénztárosnő az asztalánál számolta az egydollárosokat.,"Két férfi berontott az üzletbe, és fegyvert tartott a magasba.",Mindenki pánikba esett és sikoltozni kezdett.,"A férfiak megfenyegették az embereket, hogy maradjanak csendben.","A pénztáros átadta nekik a pénzt, hogy elmenjenek.",A pénztárosnő meghívta a férfiakat a középiskolai osztálytalálkozójára.,1
794c804e-89ca-47b1-a583-7300e0509764,A szomszédos Millsnek új autója volt.,Az autót a hétvégén ellopták.,"Eljöttek hozzám, és megkérdezték, hogy tudok-e valamit.","Mondtam nekik, hogy nem, de valamiért gyanakodtak rám.","Hívták a rendőrséget, hogy jöjjenek a házamhoz.",Ezután nagyon megkedveltek.,1
ece6f206-49ab-4c70-8a65-d6d2b0c97610,Kerry közgazdasági óráján volt egy rendkívül ellenszenves fiú.,Középszerű ötleteivel minden órai beszélgetést monopolizált.,"A professzor soha nem tudta rávenni, hogy csendben maradjon.",Egy nap gégegyulladással jelent meg az órán.,Kerry csalódott volt.,Kerry nagyon hálás volt!,2
61d1df75-b64c-485d-9599-0dd7f8809433,Frannynek nem különösebben tetszett a bevándorlási hullám.,"Úgy gondolta, hogy a bevándorlók azért jönnek, hogy szociális problémákat okozzanak.","Franny feldúlt volt, amikor egy bevándorló költözött a szomszédba.","A bevándorló, Sal, kedves volt, és összebarátkozott Frannyvel.",Frannyt végül kitoloncolták.,Franny megtanulta megvizsgálni az előítéleteit.,2
482130ae-9698-477e-a20e-76b48d99a2e3,Brandon egy 10 oldalas kutatási dolgozatot kapott az órára.,A dolgozaton 2003-as Dell laptopján kezdett dolgozni.,"Brandon hajnali 1-ig fennmaradt, hogy megpróbálja befejezni a dolgozatát.",Hirtelen a számítógépe összeomlott és meghalt.,"Amikor befejezte a dolgozatát, lefeküdt aludni.",Szerencsére mindent egy külső lemezre mentett.,2
