InputStoryid,InputSentence1,InputSentence2,InputSentence3,InputSentence4,RandomFifthSentenceQuiz1,RandomFifthSentenceQuiz2,AnswerRightEnding
7cbbc0af-bcce-4f56-871d-963f9bb6a99d,Egy nap megpróbáltam elmenni a parkba.,Az időjárás elég szépnek tűnt egy sétához.,"Perceken belül, miután odaértem, tüsszögni kezdtem.","A szemem könnyezett, és nehezen lélegzettem.","Az allergiám túl erős volt, ezért haza kellett térnem.","Emlékeztetett arra, hogy mennyire szeretem a tavaszi virágokat.",1
4745d627-be9b-45f2-ad92-99c82cc83f85,Avery házas volt és gyermekei voltak.,Belefáradt az unalmas életébe.,"Egy nap úgy döntött, hogy találkozik egy régi főiskolás sráccal.","Azon az éjszakán rossz döntéseket hozott, és hűtlen volt a férjéhez.","Avery úgy gondolta, hogy a gyerekei örülni fognak a döntésének.",Avery másnap megbánta tettét.,2
6bc5a855-3a02-454c-8d8b-4428b1864f95,"Josh imádta, amikor az anyja almás pitét sütött.","Nem szerette, hogy mindig várnia kellett a vacsoráig.","Ezért úgy döntött, hogy ezúttal vacsora előtt bekap egy falatot.",Az anyja által használt tojás valószínűleg rossz volt.,Josh szerint a pite nagyon finom volt.,Josh beteg.,2
2f74e81d-957b-4541-9e66-59e5eaa6aef1,John írta a dalszövegeket az új albumához.,Elkezdett írói blokkot tapasztalni.,"Próbálta kényszeríteni magát az írásra, de nem segített.","Sétákat tett, barátokkal barátkozott és a természetet figyelte.","Ihletet kapott, és hazatért, hogy írjon.",John kapta az ötletet a festményéhez.,1
325503ab-11f5-416d-81fb-3980793ca6f7,A pénztárosnő az asztalán számolta az egydollárosokat.,"Két férfi betört a boltba, és felvette a fegyvereket.",Mindenki megijedt és sikoltozni kezdett.,"A férfiak megfenyegették az embereket, hogy maradjanak csendben.","A pénztáros átadta nekik a pénzt, hogy távozzanak.",A pénztáros meghívta a férfiakat egy középiskolai osztálytalálkozóra.,1
794c804e-89ca-47b1-a583-7300e0509764,A szomszédban Millsnek új autója volt.,Az autót a hétvégén ellopták.,"Eljöttek hozzám, és megkérdezték, hogy tudok-e valamit.","Mondtam nekik, hogy nem, de valamiért gyanakodtak rám.",A rendőrséget hívták a lakásomra.,Ezután nagyon megkedveltek.,1
ece6f206-49ab-4c70-8a65-d6d2b0c97610,Nagyon kellemetlen fiú volt Kerry közgazdasági óráján.,Középszerű ötleteivel minden tantermi vitát monopolizált.,"A professzor soha nem tudta rávenni, hogy csendben maradjon.",Egy nap gégegyulladással jött az osztályba.,Kerry csalódott volt.,Kerry nagyon hálás volt!,2
61d1df75-b64c-485d-9599-0dd7f8809433,Frannynek nem tetszett a bevándorlás.,"Úgy véli, hogy a bevándorlók azért jönnek, hogy társadalmi problémákat okozzanak.","Franny feldúlt lett, amikor egy bevándorló költözött a szomszédba.","Az újonnan érkezett Sal barátságos volt, és összebarátkozott Frannyvel.",Frannyt végül kirúgták.,"Franny megtanulta, hogy ellenőrizze az előítéleteit.",2
482130ae-9698-477e-a20e-76b48d99a2e3,Brandonnak egy 10 oldalas kutatási dolgozatot kellett írnia az osztály számára.,A cikken a 2003-as Dell laptopján kezdett dolgozni.,"Brandon hajnali 1-ig maradt fent, hogy befejezze a feladatát.",Hirtelen a számítógépe összeomlott és meghalt.,"Amikor befejezte az írást, lefeküdt aludni.",Szerencsére mindent egy külső meghajtóra mentett.,2
3f076ec0-6985-418d-bb75-45b437aceca0,Ari naponta 20 dollárt költ savanyúságra.,"Hogy pénzt takarítson meg, úgy dönt, hogy saját maga készíti el.",A savanyúságot sós lébe tette.,"Ari két hetet vár, amíg a savanyúság megavasodik.","Ari kinyitja az üveget, és finom savanyúságot talál.",Ari savanyúságok édesek.,1
