InputStoryid,InputSentence1,InputSentence2,InputSentence3,InputSentence4,RandomFifthSentenceQuiz1,RandomFifthSentenceQuiz2,AnswerRightEnding
7cbbc0af-bcce-4f56-871d-963f9bb6a99d,"One day, I wanted to go to the park.",The weather seemed fine for a walk.,"Within minutes of getting there, I started sneezing.",My eyes were watering and I was breathing heavily.,My allergies were so bad that I had to go home.,He reminds me of my love of spring flowers.,1
4745d627-be9b-45f2-ad92-99c82cc83f85,Avery is married with children.,She was tired of her boring life.,"One day, she decided to meet an old guy from the university.","That night, she made the wrong decision to be unfaithful to her husband.",Ellie thinks her children will be happy with her decision.,"The next day, Ellie regretted her actions.",2
6bc5a855-3a02-454c-8d8b-4428b1864f95,Josh loves it when his mum makes apple pie.,He doesn't like always having to wait until dinner time.,"So, he decided to sneak a bite this time before dinner.",The eggs his mother used were probably bad.,Josh thought the pie was delicious.,Josh is sick,2
2f74e81d-957b-4541-9e66-59e5eaa6aef1,John wrote the lyrics for his new album.,He began to encounter writer's block.,"He tried to force himself to write, but to no avail.","He takes walks, socialises with friends and observes nature.",He felt so inspired that he went home to write.,John got the idea to paint.,1
325503ab-11f5-416d-81fb-3980793ca6f7,The cashier is counting the dollar notes on the desk.,Two men broke into the shop and grabbed a firearm.,Everyone got scared and started screaming.,These people threatened people to keep quiet.,The cashier hands them the money and leaves.,The Treasurer invited these people to a high school reunion.,1
794c804e-89ca-47b1-a583-7300e0509764,"Next door, Mills has a new car.",The car was stolen over the weekend.,They came to my house and asked me if I knew anything.,"I told them no, but for some reason they suspected me.",The police were called to my home.,They liked me a lot after that.,1
ece6f206-49ab-4c70-8a65-d6d2b0c97610,He was a very unpleasant boy in Kerry's economics class.,He monopolises every classroom discussion with his banal ideas.,The professor could never keep him quiet.,"One day, he came to class with a laryngitis.",Kerry was disappointed.,Kerry was so grateful!,2
61d1df75-b64c-485d-9599-0dd7f8809433,Franny doesn't like all immigrants.,She believes that immigrants are here to cause social problems.,"When an immigrant moves in next door, Franny starts to get upset.","The new arrival, Sal, was friendly and befriended Franny.",Franny was eventually dismissed.,Franny has learned to check her prejudices.,2
482130ae-9698-477e-a20e-76b48d99a2e3,Brandon is to write a 10 page research paper for the class.,He started writing this article on a Dell laptop in 2003.,Brendan stayed on the job until 1am.,"Suddenly, his computer crashed and died.","When he had finished writing, he went to bed.","Fortunately, he keeps everything on an external hard drive.",2
3f076ec0-6985-418d-bb75-45b437aceca0,Ali spends $20 a day on savoury vegetables.,"To save money, he decided to do it himself.",He put the pickles in brine.,Ali waited two weeks for the pickles to sour.,Ally opens the jar to find delicious kimchi.,Ali kimchi is sweet.,1
b5bc0ca6-03b0-43c0-8114-20186b5f783b,Trudy wants to write novels for a living.,One was written using traditional publishing means.,She barely made enough money to pay for the advance she received.,The second is self-published.,Trudy hopes that self-publishing will be more profitable.,Trudy called her sister and invited her to dinner.,1
43ff94c9-d83c-4ac5-bb44-d91f808c1e61,Feliciano used to pick olives with his grandmother.,She tells him stories of her ancestors as she picks.,"Before he knew it, the sun was setting.",They took the olives home and ate them together.,Then they went off to pick olives.,Feliciano was delighted with his beautiful day.,2
5b2f7f43-ce2f-4405-9576-21ef0ae67612,Aaron's girlfriend invited him over for dinner.,She said she would prepare his favourite dish - Chicken Alfredo.,"Aaron was excited, she wanted to cook, but he hated Alfredo.",She must have confused his words when he told her that he liked her the least.,Aaron suggested helping her prepare another meal instead.,Aaron broke up with her.,1
d9dde843-ee66-4dca-820a-c3d489ba586f,Oliver was nervous about the wedding.,He was worried that he would stammer during the oath.,"When the time came, he took a deep breath and began to speak.","He stammered, but my wife laughed and hugged him, so he was fine.",Oliver has decided not to get married.,Oliver is very grateful for the love of his wife.,2
705d7e4d-3b56-48dc-9dad-9b14eff97d95,Sara lost her cat.,She is so sad!,She put up signs all over the neighbourhood.,Then something wonderful happened.,Sarah broke her leg.,Someone found her cat.,2
a37be14a-7724-464c-8344-87624fafaa34,Kylie is playing her new Mario game.,She has been playing for a few weeks now.,She hadn't beaten the level in all the time she had played.,"Finally, it passed the last stage.",Kylie was angry about this.,Kelly was very happy to have finally beaten her.,2
17cfe8c3-561d-4910-8644-0565deccbe79,Tim and Debbie have been dating for almost a year.,They met at a party they attended last Christmas.,Tim picked up Debbie's date this evening and took her out for a nice dinner.,"Immediately after dessert, he proposed marriage.",Deb accepts Tim's proposal of marriage.,Deb told Tim that she was only interested in women.,1
87aa1560-0c24-4a6d-8507-6ae058e4422a,My roommate is German.,He is a very good cook.,One day he made me the sausages he used to eat in his old home in Germany.,"The sausage, he said, did not work well.",The grains are delicious.,I like them anyway.,2
9cba37ea-cc3e-4775-b044-c3d3d4983d22,"When I was a kid, I wanted to play chess so badly.",I sat with my grandfather and he taught me.,"At first he just taught me, but then it turned into something special.","As I got older, I continued to play checkers with him.",I still hate the chessboard.,I have very fond memories of the chessboard.,2
a0769cd4-45a0-492c-a566-b14b9b17cba6,"Ivy, like her friends, wanted a mobile phone.",She saves money by delivering newspapers.,"Soon, she had made enough of a phone call.",She went shopping and picked out the perfect phone.,Amy spends all her money on clothes.,She loves her new phone.,2
40f3b904-81c7-4e92-b245-ff20840733a2,Dave walks into a grocery shop.,He wanted to buy his favourite energy drink there.,He only had enough money to buy one can.,"When he reached the corridor, he smiled.",Dave bought the whole box.,They are for sale.,2
b00c883d-782a-428a-be8d-1749a200575f,Gina sat on her grandfather's bed and looked out.,It was winter and his garden was dead by spring.,"Her grandfather had died, so there was no one to look after him.",Weeds will take over and choke the flowers.,Gina asked her grandfather what his favourite flower was.,Gina decided to go out and pick some weeds.,2
1d3e5ddd-76a9-401d-8c5c-a6f5f0bd7160,Ramona is very unhappy with her job.,She asked for a pay rise but was refused.,"After being rejected, she began actively browsing search ads.",She found an interesting new opportunity and arranged an interview.,She has been offered a new job with a higher salary.,Ramona has no reason to want to change jobs.,1
34ddd737-0709-4fc7-b64b-6c43eaf9f48c,I would like to buy a game console.,I asked my parents and they came up with the idea.,"I was told that if I fulfilled my obligations, I would get money to deposit.","Throughout the summer, I did my duty every week, unaided.",My parents gave me enough money to buy a game console.,"At the end of the summer, I gave the money back to my parents.",1
fc416bf8-23b2-41af-b4bf-ffc544321166,Felipe has been interested in Germany since he was a child.,He learns about the language and culture by reading books in the library.,"At university, he was finally able to go to Berlin.","Felipe loves German art, food and beer.",Felipe never wanted to go to Germany again.,"Later, Felipe made another trip to Germany.",2
d8079c78-7eda-4006-a7f5-993cc1456bcb,Myers is a roofer.,He loves his job and is very good at it.,"One day, he fell off the roof without looking.","Fortunately, he only broke his leg.",Miles got up and left.,Myers decided he needed to be more careful.,2
de97e427-f428-4b4e-80e6-b22b80a9f3f1,"Johnny thought Anita was his girl, but he was wrong.","He asked her out, but she said she wasn't feeling well.",Johnny decided to go to the club to drink and listen to music.,"At midnight, he looked back and saw Anita dancing with another man.",Johnny wants to ask Anita out again.,Johnny doesn't ask Anita out anymore,2
4d1e86d9-f613-47c4-848e-0e4b9fbe3dce,His eyes burned with pain.,His stomach churned and twisted.,His lungs were filled with fluid.,A painful coughing fit resounded in the hallway of his small home.,He must be close to death and he will disappear before nightfall.,He stood up and decided to go for a run.,1
c9bc611e-b71c-48e9-a3d3-4a4ebcb9a8cc,Tom is preparing for the big test.,Then he fell asleep out of boredom.,He slept for five hours.,He woke up shaken.,Tom studied as much as he could before the exam.,Tom felt ready for the test.,1
7ef8e330-87c0-45f1-a4ac-c51818a46ac5,The friends had lunch and gathered around the table.,Ben was ravenous and finished his lunch before anyone else.,He went back to the lunch queue to get more food.,It did not shape him.,He decided to buy another lunch and then he felt uncomfortable.,Then he stopped eating because he was full.,1
86178f58-f674-42bc-91f8-23038c98197a,Jill's father took her to pick out a kitten.,There are two in the cage.,She could not leave any of them behind.,Her father agreed.,Jill and her father brought home a kitten.,Jill and her father took the two kittens home.,2
2a41a1bd-54d3-40cb-ba38-eba5e3c5c31c,Today was my first class trip.,Our class went to the playground at the back of the school.,Many students and professors were resting on towels on the floor.,"In addition, a number of sporting events were held.",I was very tanned that day.,They hit me in the face with a rugby ball and I got a black eye.,1
50a2e0a9-17b0-4670-9e3b-7c7a0bcf3512,Dogs stopping at the pond to drink water.,He replaced his reflection with that of another dog.,"Wanting to fight, he jumped into the water.","Unsurprisingly, his opponents proved to be elusive.",The dog ran home with his tail between his legs.,The other dog overpowered him and bit his ear.,1
1257ebe1-6a10-49c0-bd35-28ca88e2baec,Peter wanted to show his daughter his favourite Christmas songs.,He played a video of the song for her.,Then he told her to listen to the background music.,"For the last time, he decided to sing a song to her.",Peter hates Christmas.,Peter's daughter loves music.,2
00c4e875-144a-4c40-b83a-08a7e9926253,Mr Yao is a keen gardener.,"He had a large garden in his backyard, which he loved very much.",He decided to take his vegetables to the local fair.,He waited expectantly for the outcome.,Yao Ming was entered in two categories.,The judges ate Yao's dish and did not reward him.,1
e347459b-dd6e-4b4e-afae-7bbb45964184,Mary loves to jump rope.,She does it all the time.,This has kept her in good shape.,She was always full of energy.,Mary lost her job because she had no physical strength.,Mary was delighted to learn how to jump rope.,2
606f2a0b-3565-4cf8-8b95-efc4196a5ef3,I was in a bar with a friend.,It was my turn to buy bullets.,I walked up to the bartender and asked him for 13 beers and a glass of wine.,He asked for my card and accepted the order.,He told me to go to hell,He completed my order.,2
c2053646-85b1-41b4-8244-bfb1a2c21029,Scott was hungry.,He decided to make dinner.,He made tortillas.,He's done enough to share with his friends.,His friend loved the tacos Scott prepared.,His friend was upset and asked Scott to leave.,1
1e65a4f0-bc9e-4ff7-84e0-8eff744d95aa,Jorel wants to try out for the basketball team.,He practiced hard.,"On the day of the exam, he was very nervous.",His approach paid off.,He was asked to join the team.,He was terrible.,1
4970b8a1-f2b4-4cfd-85d0-0e93edbd86f7,Beth and Carol went to China.,"After dinner, Beth opened her fortune biscuit.",Beth expects to be lucky by the end of the week.,Beth called her later in the week to tell her the good news.,Beth's dog was hit by a car!,Beth has just won the lottery!,2
f6f37f29-ff73-4b5b-980c-55b0a2d1340c,Sally loves the soda her mum buys her.,She pulled one out of the fridge.,She was happy to open it and try it out.,Sally had no idea that her brother had scared them all.,The water is very calm.,The water bursts.,2
e0644cca-3711-444f-ba22-22e701d18fa9,The bride and groom walk down the aisle.,They finally got married.,The wedding took place at a country club.,"When the bride threw her bouquet, her best friend caught it.",Her best friend was furious.,Her best friend was delighted.,2
facc8d6c-0f9d-472a-aa08-a7bacb41d38b,Gordon is rushing to a meeting.,He flew out of the laboratory and slipped on the ice outside.,When he stood up he found his wrist had been ripped off.,He barely made it to his appointments on time.,Gordon was sacked for being late for a meeting.,Gordon promised to be more careful next time.,2
cd4c6628-e2b1-4959-afaf-e3008821b177,Two elderly ladies chatting over lunch in the park.,One of the men brought a basket and placed the food on the table.,They chatted and ate happily until they started arguing about something.,One of the men threw a piece of cake at the other and a food fight began.,The police had to break up the fight.,They thanked each other for the deliciousness of the cake.,1
11c99af0-78e8-414d-b78c-2c70fe407ba6,Mike has a beautiful girlfriend.,One day he was walking in the school yard.,He saw his girlfriend with another man.,The other boy was his friend Bob.,Mike was glad he wasn't walking around campus.,Mike was sad to see his girlfriend with someone else.,2
7ac29522-a873-4083-832c-cf8fbbf3d1dd,Kara lost her dog yesterday,She was scared.,Carla searched the whole city for him.,The last time she found the dog was in a neighbour's yard.,Carla asked her neighbour not to put dog food in the yard.,Carla bought a pet cat and painted it pink.,1
1055bd28-9480-4e7e-8b5c-68575b03911b,Every year we attend a barbecue by the pool at our aunt's house.,"One year, when my sister was very young, she fell into a swimming pool.","When my father realised she was gone, he ran to the pool.","It sank, pulling my sister to the surface.",We were all relieved when we rescued her.,Then we allowed her to go swimming.,1
44b83c91-61e5-48e1-aa8b-a4712e3b837a,The harpooner hit the whale and the whale staggered and started to run away.,Everything was fine and a few minutes later the whale made a deep sound.,The line is not paying fast enough and the bow is sinking deep.,The boat slipped beneath the waves and did not rise again.,The harpooner went down with the boat.,The harpooner appears on a surfboard.,1
054e6e40-539e-4b88-b81d-acec771d42cb,Sarah was hungry.,"She went to the kitchen to eat, but all she got was bread.",She made toast with butter and jam.,"As she walked to the table, she dropped her toast.",Sara was depressed.,Sarah was thrilled to put down the toast.,1
f82aee98-72da-4a92-b898-d4d362101498,The day after Christmas we left North Carolina and headed for Florida.,"After a long drive, we couldn't wait to get there.",We spent time with our families and visited Disneyland.,We spent a whole day in the Magic Kingdom.,Then we went home and slept peacefully.,Then we left Six Flags and went home.,1
099edf1f-91ae-4f8c-b9ed-4e921a7c3b02,Nicole's greatest ambition is to become an aunt.,The problem is that she has no siblings.,Today Nicole received a message from her cousin Xiao.,Xiao and her husband are pregnant with a baby boy.,She felt she could be an honorary aunt.,She has decided that she does not like children.,1
fee44088-f58d-4ef9-93dc-cffe69f03d77,Mary and Emma drove to the beach.,They decided to swim in the sea.,Mary turned to Emma.,Emma said to watch out for the waves.,The sea is as calm as a bathtub.,Maria is knocked down by a large wave.,2
